sentence,profanity
"Hello, is this Mr. Johnson? This is Lisa calling from XYZ Collections. How are you today?",0
"I'm sorry, but I think you have the wrong person. My name is Sarah.",0
"Oh, I apologize for the confusion, Sarah. I'm reaching out about a debt related to an outstanding balance with Definite Bank.",0
I don't have any account with Definite Bank. You might want to check your records.,0
Thank you for letting me know. I will make a note to update our records.,0
I appreciate that. Is there anything else I need to do?,0
"No, that's all. I'm sorry for any inconvenience caused. Have a great day!",0
"Thank you, you too!",0
"Hello, this is Jason calling from XYZ Collections. How are you today?",0
"I'm okay, but why are you calling me?",0
I'm reaching out regarding your overdue balance on your account. I just wanted to discuss your payment options.,0
I already requested to be on your do not call list last month.,0
I apologize for the inconvenience. Let me check that for you and ensure your number is marked correctly.,0
Please do it quickly. I don't want to hear from you again.,0
Absolutely. I'll mark your number as do not call right now.,0
"Thank you, I hope this is the last call.",0
You're welcome! I've completed the request. You won't receive any further calls.,0
"Hello, this is Sarah calling from XYZ Collections. How are you today?",0
"I'm fine, thanks. What is this about?",0
I'm reaching out regarding your outstanding balance with Global Credit. Can I have your name to proceed?,0
It's John Harris.,0
"Thank you, John. You currently have a balance of three hundred dollars. When can we expect payment?",0
I wasn't even aware of that. Can you tell me more details?,0
Of course. This balance includes your last payment missed in August. Would you like to set up a payment plan?,0
I'm not sure if I can afford that right now.,0
"I understand, John. We can work with you on that. What amount could you manage as a down payment?",0
Maybe I can do fifty dollars.,0
"Great, I can arrange that. You can pay over the phone or online. Which preference do you have?",0
I prefer online payment.,0
Perfect! I'll send you a link to complete the payment. Thank you for your cooperation today.,0
Thank you for your help.,0
"Hello, this is John calling from XYZ Collections. How are you today?",0
"I'm fine, thanks. What's this about?",0
I'm reaching out regarding your overdue account. Can you please confirm your address for identity verification purposes?,0
"Sure, it's 123 Elm Street.",0
Thank you. And could you also provide your date of birth for further verification?,0
"It's April 15, 1990.",0
"Great, I've confirmed your identity. You have an outstanding balance of $250. How do you wish to proceed with the payment?",0
I'd like to pay that off today through credit card.,0
"That works. Can I have your credit card details, please?",0
"Sure, it's 4111-1111-1111-1111, expiring 06/25.",0
Thank you for that information. I will process the payment now.,0
How long will it take to reflect?,0
It should reflect within 1-2 business days. Is there anything else I can assist you with?,0
"No, that's all. Thanks for your help!",0
You're welcome! Have a great day!,0
You have reached the voicemail of John Smith. Please leave a message after the beep.,0
"Hello John, this is Lisa from Stellar Collections. I am calling about your overdue balance.",0
"To leave a message, please include your name and number.",0
It's important to discuss your options for the account. You can reach me at 1-800-555-0199.,0
Thank you for your message. I will get back to you as soon as possible.,0
"Hello, this is Kyle from XYZ Collections. How the hell are you?",0
"I'm doing well, thank you. How can I assist you today?",0
I need to verify your identity before discussing your account. Can you please give me your date of birth?,0
"Sure, it's March 15, 1985.",0
"Alright, that checks out. Now, you owe us a shitload of money. What the hell are you planning to do about it?",0
"I plan to pay it off as soon as possible, but I need to discuss my options.",0
"Options? Don't give me that crap. You need to pay up, plain and simple!",1
"I understand, but I would like to know if I can set up a payment plan.",0
Payment plan? Who the hell do you think you are? Just pay the damn balance!,1
"I really want to resolve this, but I need a reasonable solution.",0
A reasonable solution is to pay what you owe! Stop wasting my time!,0
I will find a way to make this work. Thank you for your time.,0
"Whatever, just get it done! Bye!",0
"Hello, this is Jason from XYZ Collections. How are you today?",0
"I'm doing fine, thank you. What's this about?",0
"I'm calling regarding your account with City Bank. To ensure I'm speaking with the right person, could you verify your date of birth?",0
"Sure, it's July 14, 1990.",0
Thank you for that information. Can you also confirm your current address?,0
"Yes, it's 123 Maple Street, Springfield.",0
Great! I have verified your information. You currently have an outstanding balance of $250. How do you wish to proceed with payment?,0
I can pay half today and the rest next month.,0
That works. Would you like to pay the first installment online?,0
"Yes, online is fine with me.",0
Thank you! I'll send you a link to complete the payment. Is there anything else I can assist you with today?,0
"No, that's all for now. Thank you!",0
You're welcome! Have a great day.,0
You too! Bye.,0
"Hello, this is Mark from XYZ Collections. Am I speaking with Jordan Smith?",0
"Yes, this is Jordan. What's this about?",0
"Thank you for confirming, Jordan. I'm calling regarding an outstanding balance on your account. Can you please verify your date of birth?",0
"Sure, it's June 15, 1990.",0
"Thank you for that. Also, could you confirm your address for security purposes?",0
"It's 123 Maple Street, Springfield.",0
"Great, thank you for verifying that information. You currently have a balance of $500. How would you like to proceed with the payment?",0
I can pay half right now and the rest by the end of the month.,0
"That sounds reasonable. So, you'll pay $250 today and the remaining $250 by the end of the month?",0
"Yes, that's correct.",0
Perfect. How would you like to make the payment today?,0
I can do it via credit card.,0
"Alright, I will gather your card details. Thank you for your cooperation, Jordan.",0
Thank you for your help.,0
"Hello, this is Mark from XYZ Collections. Am I speaking with Jessica?",0
"Yes, this is Jessica. What is this about?",0
I'm calling regarding an outstanding balance on your account. Could you please verify your address for me?,0
"Sure, it's 123 Elm Street, Springfield.",0
Thank you. I see here that you have a balance of $450 due. When do you plan to make a payment?,0
I didn't know I had a balance. Can you provide more details?,0
Sure! This balance is from services rendered last month. Can I assist you with the payment plan?,0
I need to check my finances first before committing.,0
"Of course, take your time. Just to confirm, do you want to set a follow-up call next week?",0
"Yes, that sounds good.",0
"Alright, I will call you next Wednesday. Thank you for your time, Jessica.",0
"Thank you, Mark.",0
Goodbye!,0
You have reached the voicemail of Jamie Parker. Please leave a message after the beep.,0
"Hello Jamie, this is Sarah calling from Clear Collections. I'm reaching out about your outstanding balance on your account. Please call us back at one eight hundred two three four five six seven.",0
"If this is an urgent matter, you may also reach me via email.",0
